site,time,value
TRGW-0-3-8,4245.5,38.005114194134784
TRGW-0-3-8,4246.5,37.91174641989548
TRGW-0-3-8,4247.5,38.17698517649117
TRGW-0-3-8,4248.5,38.16081737521157
TRGW-0-3-8,4249.5,38.0403656009573
TRGW-0-3-8,4250.5,37.94018937843059
TRGW-0-3-8,4251.5,38.0321661888954
TRGW-0-3-8,4252.5,37.81856648770723
TRGW-0-3-8,4253.5,38.06290828003093
TRGW-0-3-8,4254.5,38.101024468315444
TRGW-0-3-8,4255.5,38.00772384023452
TRGW-0-3-8,4256.5,37.88541643374222
TRGW-0-3-8,4257.5,38.00072445195056
TRGW-0-3-8,4258.5,37.95176049757867
TRGW-0-3-8,4259.5,37.88459478939562
TRGW-0-3-8,4260.5,37.90266557262271
TRGW-0-3-8,4261.5,37.89151159329803
TRGW-0-3-8,4262.5,37.99698170113243
TRGW-0-3-8,4263.5,38.02521371139488
TRGW-0-3-8,4264.5,38.01828652892354
TRGW-0-3-8,4265.5,37.80066890354208
TRGW-0-3-8,4266.5,37.89734060540336
TRGW-0-3-8,4267.5,37.90789121111564
TRGW-0-3-8,4268.5,37.99878418730046
TRGW-0-3-8,4269.5,38.02038644668346
TRGW-0-3-8,4270.5,38.005799822568164
TRGW-0-3-8,4271.5,37.97276492321167
TRGW-0-3-8,4272.5,37.89123489849977
TRGW-0-3-8,4273.5,37.98745144157261
TRGW-0-3-8,4274.5,37.91733845165384
TRGW-0-3-8,4275.5,37.88693841533283
TRGW-0-3-8,4276.5,37.9524388064881
TRGW-0-3-8,4277.5,37.87788779962229
TRGW-0-3-8,4278.5,37.728322733190055
TRGW-0-3-8,4279.5,38.011348556057655
TRGW-0-3-8,4280.5,37.85421443173774
TRGW-0-3-8,4281.5,38.06842478157274
TRGW-0-3-8,4282.5,38.04741064192269
TRGW-0-3-8,4283.5,37.606396270053
TRGW-0-3-8,4284.5,37.899708053947
TRGW-0-3-8,4285.5,37.777622032264226
