parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:8_x:2125.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,8,2125.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:9_x:2375.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,9,2375.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:10_x:2625.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,10,2625.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:11_x:2875.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,11,2875.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:12_x:3125.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,12,3125.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:13_x:3375.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,13,3375.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:14_x:3625.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,14,3625.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:15_x:3875.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,15,3875.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:16_x:4125.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,16,4125.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:17_x:4375.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,17,4375.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:18_x:4625.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,18,4625.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:4_j:19_x:4875.00_y:8875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,4,19,4875.00,8875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:5_j:0_x:125.00_y:8625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,5,0,125.00,8625.00,1,,,,
